Row_ID,Order_ID,Order_Date,Ship Date,Ship Mode,Customer ID,Customer Name,Profit,Discount,City,State,Postal Code,Region,Product_ID,Category,Sub_Category,Product Name,Sales,Quantity
1,CA-2017-152156,11-08-2017,11-11-2017,Second Class,CG-12520,Claire Gute,41.9136,0,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2
2,CA-2017-152156,11-08-2017,11-11-2017,Second Class,CG-12520,Claire Gute,219.582,0,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3
3,CA-2017-138688,06-12-2017,6/16/17,Second Class,DV-13045,Darrin Van Huff,6.8714,0,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2
4,US-2016-108966,10-11-2016,10/18/16,Standard Class,SO-20335,Sean O'Donnell,-383.031,0.45,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5
5,US-2016-108966,10-11-2016,10/18/16,Standard Class,SO-20335,Sean O'Donnell,2.5164,0.2,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2
6,CA-2015-115812,06-09-2015,6/14/15,Standard Class,BH-11710,Brosina Hoffman,14.1694,0,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7
7,CA-2015-115812,06-09-2015,6/14/15,Standard Class,BH-11710,Brosina Hoffman,1.9656,0,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4
8,CA-2015-115812,06-09-2015,6/14/15,Standard Class,BH-11710,Brosina Hoffman,90.7152,0.2,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6
9,CA-2015-115812,06-09-2015,6/14/15,Standard Class,BH-11710,Brosina Hoffman,5.7825,0.2,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3
10,CA-2015-115812,06-09-2015,6/14/15,Standard Class,BH-11710,Brosina Hoffman,34.47,0,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5
11,CA-2015-115812,06-09-2015,6/14/15,Standard Class,BH-11710,Brosina Hoffman,85.3092,0.2,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9
12,CA-2015-115812,06-09-2015,6/14/15,Standard Class,BH-11710,Brosina Hoffman,68.3568,0.2,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conferencephone- Charcoal black,911.424,4
13,CA-2018-114412,4/15/18,4/20/18,Standard Class,AA-10480,Andrew Allen,5.4432,0.2,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3
14,CA-2017-161389,12-05-2017,12-10-2017,Standard Class,IM-15070,Irene Maddox,132.5922,0.2,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3
15,US-2016-118983,11/22/16,11/26/16,Standard Class,HP-14815,Harold Pawlan,-123.858,0.8,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5
16,US-2016-118983,11/22/16,11/26/16,Standard Class,HP-14815,Harold Pawlan,-3.816,0.8,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3
17,CA-2015-105893,11-11-2015,11/18/15,Standard Class,PK-19075,Pete Kriz,13.3176,0,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6
18,CA-2015-167164,5/13/15,5/15/15,Second Class,AG-10270,Alejandro Grove,9.99,0,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2
19,CA-2015-143336,8/27/15,09-01-2015,Second Class,ZD-21925,Zuschuss Donatelli,2.4824,0,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2
20,CA-2015-143336,8/27/15,09-01-2015,Second Class,ZD-21925,Zuschuss Donatelli,16.011,0.2,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3
21,CA-2015-143336,8/27/15,09-01-2015,Second Class,ZD-21925,Zuschuss Donatelli,7.384,0.2,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4
22,CA-2017-137330,12-09-2017,12/13/17,Standard Class,KB-16585,Ken Black,5.0596,0,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7
23,CA-2017-137330,12-09-2017,12/13/17,Standard Class,KB-16585,Ken Black,15.6884,0,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7
24,US-2018-156909,7/16/18,7/18/18,Second Class,SF-20065,Sandra Flanagan,-1.0196,0.3,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2
25,CA-2016-106320,9/25/16,9/30/16,Standard Class,EB-13870,Emily Burns,240.2649,0,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3
26,CA-2017-121755,1/16/17,1/20/17,Second Class,EH-13945,Eric Hoffmann,4.2224,0.2,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2
27,CA-2017-121755,1/16/17,1/20/17,Second Class,EH-13945,Eric Hoffmann,11.7741,0,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation8GB Mini TravelDrive USB 2.0Flash Drive,90.57,3
28,US-2016-150630,9/17/16,9/21/16,Standard Class,TB-21520,Tracy Blumstein,-1665.0522,0.5,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7
29,US-2016-150630,9/17/16,9/21/16,Standard Class,TB-21520,Tracy Blumstein,-7.0532,0.7,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2
30,US-2016-150630,9/17/16,9/21/16,Standard Class,TB-21520,Tracy Blumstein,15.525,0.2,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3
31,US-2016-150630,9/17/16,9/21/16,Standard Class,TB-21520,Tracy Blumstein,1.1016,0.2,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2
32,US-2016-150630,9/17/16,9/21/16,Standard Class,TB-21520,Tracy Blumstein,9.7092,0.2,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6
33,US-2016-150630,9/17/16,9/21/16,Standard Class,TB-21520,Tracy Blumstein,-5.715,0.7,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6
34,US-2016-150630,9/17/16,9/21/16,Standard Class,TB-21520,Tracy Blumstein,3.546,0.2,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2
35,CA-2018-107727,10/19/18,10/23/18,Second Class,MA-17560,Matt Abelman,9.9468,0.2,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3
36,CA-2017-117590,12-08-2017,12-10-2017,First Class,GH-14485,Gene Hale,123.4737,0.2,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7
37,CA-2017-117590,12-08-2017,12-10-2017,First Class,GH-14485,Gene Hale,-147.963,0.6,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5
38,CA-2016-117415,12/27/16,12/31/16,Standard Class,SN-20710,Steve Nguyen,35.415,0.2,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9
39,CA-2016-117415,12/27/16,12/31/16,Standard Class,SN-20710,Steve Nguyen,-46.9764,0.32,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3
40,CA-2016-117415,12/27/16,12/31/16,Standard Class,SN-20710,Steve Nguyen,-15.147,0.3,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3
41,CA-2016-117415,12/27/16,12/31/16,Standard Class,SN-20710,Steve Nguyen,41.7564,0.2,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4
42,CA-2018-120999,09-10-2018,9/15/18,Standard Class,LC-16930,Linda Cazamias,16.5564,0.2,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4
43,CA-2017-101343,7/17/17,7/22/17,Standard Class,RA-19885,Ruben Ausman,3.894,0,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2
44,CA-2018-139619,9/19/18,9/23/18,Standard Class,ES-14080,Erin Smith,9.5616,0.2,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2
45,CA-2017-118255,03-11-2017,3/13/17,First Class,ON-18715,Odella Nelson,19.7714,0,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2
46,CA-2017-118255,03-11-2017,3/13/17,First Class,ON-18715,Odella Nelson,8.2062,0,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2
47,CA-2015-146703,10/20/15,10/25/15,Second Class,PO-18865,Patrick O'Donnell,8.4784,0,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4
48,CA-2017-169194,6/20/17,6/25/17,Standard Class,LH-16900,Lena Hernandez,4.95,0,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation8gb Micro Traveldrive Usb 2.0Flash Drive,45,3
49,CA-2017-169194,6/20/17,6/25/17,Standard Class,LH-16900,Lena Hernandez,6.104,0,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2
50,CA-2016-115742,4/18/16,4/22/16,Standard Class,DP-13000,Darren Powers,17.9634,0,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6
51,CA-2016-115742,4/18/16,4/22/16,Standard Class,DP-13000,Darren Powers,35.3346,0,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6
52,CA-2016-115742,4/18/16,4/22/16,Standard Class,DP-13000,Darren Powers,2.9568,0,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2
53,CA-2016-115742,4/18/16,4/22/16,Standard Class,DP-13000,Darren Powers,17.0981,0,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1
54,CA-2017-105816,12-11-2017,12/17/17,Standard Class,JM-15265,Janet Molinari,6.2566,0,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7
55,CA-2017-105816,12-11-2017,12/17/17,Standard Class,JM-15265,Janet Molinari,298.6855,0,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5
56,CA-2017-111682,6/17/17,6/18/17,First Class,TB-21055,Ted Butterfield,52.14,0,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6
57,CA-2017-111682,6/17/17,6/18/17,First Class,TB-21055,Ted Butterfield,15.552,0,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5
58,CA-2017-111682,6/17/17,6/18/17,First Class,TB-21055,Ted Butterfield,7.098,0.1,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5
59,CA-2017-111682,6/17/17,6/18/17,First Class,TB-21055,Ted Butterfield,6.9888,0,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2
